sample_index,file_name,user_id,position_id,action_id,half_window,full_window_frames,frames,duration_seconds,median_span_seconds,p25_span_seconds,p75_span_seconds,p90_span_seconds,max_span_seconds,median_fraction_of_sample_duration,nominal_frame_fraction_of_sample
23,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120623_mimo5s_part0.csv,0,6,1,1,3,12,5.559676,0.6683464999999997,0.3110625000000002,1.15991875,2.1582151000000005,2.8477959999999998,0.12021321026620972,0.25
23,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120623_mimo5s_part0.csv,0,6,1,2,5,12,5.559676,1.2666715000000002,0.9060984999999999,2.7117295,3.5236216000000002,3.7359809999999998,0.22783189164260656,0.4166666666666667
23,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120623_mimo5s_part0.csv,0,6,1,3,7,12,5.559676,2.779838,1.215922,4.017407,4.1550671,4.676539,0.5,0.5833333333333334
23,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120623_mimo5s_part0.csv,0,6,1,5,11,12,5.559676,4.476748499999999,3.8043432499999996,4.99171925,5.3541419,5.451134,0.8052175162725309,0.9166666666666666
24,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120657_mimo5s_part0.csv,0,6,1,1,3,21,7.259119999999999,0.4770120000000002,0.258019,1.077227,1.5714579999999998,2.257654,0.06571209733411217,0.14285714285714285
24,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120657_mimo5s_part0.csv,0,6,1,2,5,21,7.259119999999999,0.7480350000000007,0.49649199999999993,1.8641909999999995,2.574737,3.3294539999999997,0.10304761458689218,0.23809523809523808
24,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120657_mimo5s_part0.csv,0,6,1,3,7,21,7.259119999999999,1.626912,0.7611889999999999,2.3607769999999997,3.3294539999999997,4.1218449999999995,0.2241197280111088,0.3333333333333333
24,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120657_mimo5s_part0.csv,0,6,1,5,11,21,7.259119999999999,2.3862069999999997,1.568889,4.110239,4.604922,4.86988,0.32871849480377785,0.5238095238095238
25,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120703_mimo5s_part0.csv,0,6,1,1,3,7,5.248158,0.9719820000000006,0.30078900000000014,2.416826,3.8232258,3.9214799999999994,0.18520440886116626,0.42857142857142855
25,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120703_mimo5s_part0.csv,0,6,1,2,5,7,5.248158,4.004605,1.1077675000000002,4.554914,4.857576,4.893462,0.7630496261736022,0.7142857142857143
25,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120703_mimo5s_part0.csv,0,6,1,3,7,7,5.248158,4.893462,4.1403905,5.040905,5.1475836,5.248158,0.9324151445135608,1.0
25,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120703_mimo5s_part0.csv,0,6,1,5,11,7,5.248158,5.248158,5.164346,5.248158,5.248158,5.248158,1.0,1.0
