variant,amplitude_max_abs_error,adjacent_phase_jump_early_mean_rad,adjacent_phase_jump_late_mean_rad,late_relative_rotation_mean_rad,late_relative_rotation_gt_pi_over_2,late_relative_rotation_gt_3pi_over_4,phase_channel_std,zscore_amplitude_channel_std,zscore_phase_to_amplitude_std_ratio,minmax_amplitude_channel_std,minmax_phase_to_amplitude_std_ratio,minmax_exact_zero_fraction,linear_cancellation_ratio_mean,linear_cancellation_ratio_p10,linear_cancellation_ratio_lt_0_5,linear_late_minus_early_ratio,cubic_cancellation_ratio_mean,cubic_cancellation_ratio_p10,cubic_cancellation_ratio_lt_0_5,cubic_late_minus_early_ratio,sample_index,length
linear_reference,7.62939453125e-06,0.11111647635698318,0.1110580638051033,0.77214515209198,0.0,0.0,0.32015740871429443,1.0000000000000002,0.3201574087142944,0.17857240822664408,1.7928716529820816,0.00056811974216104,0.9994725493662497,0.9984496709102652,0.0,-1.7763482920152285e-06,1.0011216464088692,0.9995265863360936,0.0,-5.1728404601991684e-06,1,2034
common_only,0.0,0.7979412078857422,0.8053417205810547,0.0,0.0,0.0,1.8096436262130737,1.0,1.8096436262130737,0.17857241082168313,10.133948563981296,0.00056811974216104,0.9529988898727004,0.92601238197202,0.0,-0.00092570134311043,0.9962426580291259,0.9768571242708162,0.0,-3.8455337213139096e-05,1,2034
detrend_first50_only,7.62939453125e-06,0.722523033618927,1.225675106048584,1.5779823064804077,0.4873744230247081,0.2607249524843877,1.812734842300415,1.0,1.812734842300415,0.1785724194574612,10.151258787935264,0.0005571943625040971,0.9268914794230042,0.7552472384079133,0.013001201791762264,-0.10596185968223581,0.9855062064088371,0.8388333986187211,0.00685021304490331,-0.07274791244358236,1,2034
detrend_fullspan50_only,7.62939453125e-06,1.3757045269012451,1.528151273727417,1.5170543193817139,0.4873065435786044,0.2526020454339759,1.8181769847869873,1.0,1.8181769847869873,0.1785724156660436,10.181734832927628,0.00056811974216104,0.8285874580277427,0.5215044121606088,0.09210095050803016,-0.07466983322283882,0.9213237652764644,0.6345222746867263,0.05259477766852398,-0.0834498769574884,1,2034
robust_shared_first50,7.62939453125e-06,0.7979412078857422,0.8053417205810547,3.305760998273399e-08,0.0,0.0,1.814123272895813,1.0,1.814123272895813,0.17857241028698081,10.159034477836554,0.00056811974216104,0.9529988898194054,0.9260122812951065,0.0,-0.0009257015624403175,0.9962426579585676,0.9768572610000185,0.0,-3.8455496553013724e-05,1,2034
robust_window_limited,7.62939453125e-06,0.9538747072219849,0.9678221344947815,0.4246155321598053,0.13793103448275862,0.09195402298850575,1.843104600906372,0.9999999999999996,1.843104600906373,0.17857242117467556,10.321328393164857,0.0005899705014749262,0.9454827879013457,0.9207954550110209,0.0,-0.0013663719628087545,1.0129257693201499,0.9550590577096439,0.0,0.0005780010075582265,1,2034
robust_fullspan50,7.62939453125e-06,1.3903387784957886,1.4860243797302246,1.438758373260498,0.44628473164992305,0.22015567019639787,1.8195284605026245,0.9999999999999998,1.819528460502625,0.17857240716706915,10.189303540049758,0.0006008958811318693,0.8322636612318934,0.5243668008721608,0.09150005462689828,-0.03229270092926617,0.929230876233669,0.6107624302763448,0.05922648312028843,-0.02744984979985743,1,2034
robust_first50,7.62939453125e-06,0.7521229386329651,1.391339898109436,1.5883132219314575,0.4961761245361571,0.2623314327088424,1.8327471017837524,0.9999999999999999,1.8327471017837527,0.17857241908964458,10.263326840320737,0.0006118212607888124,0.9026110220261606,0.7192835438122688,0.030044794056593466,-0.11657920892503226,0.9676082247510724,0.7979779945935127,0.01621326341090353,-0.06242226957561259,1,2034
no_calibration,3.814697265625e-06,0.7530372142791748,0.7775349020957947,0.00017376175674144179,0.0,0.0,1.8129463195800781,0.9999999999999999,1.8129463195800783,0.17871786554917415,10.14418068394649,0.0011027568922305764,0.9539835607590207,0.918380176196711,0.0,-0.0028531156046754935,0.9965235687416726,0.9792031977857141,0.0,-0.0004566549594782199,2,1330
linear_reference,7.62939453125e-06,0.12174009531736374,0.12183180451393127,0.7400335669517517,0.0,0.0,0.3750661313533783,1.0000000000000002,0.3750661313533782,0.17871786651302413,2.098649333003565,0.0009356725146198831,0.9992690895722431,0.9978927460603615,0.0,2.291586098435161e-06,1.0011404862320747,0.999409415944172,0.0,3.3756259778305875e-05,2,1330
